uuid|parent_uuid|name|
f29ea146-b649-11e6-7a69-9711003db8b7||2. Обувь|
0a3894e0-f0fb-11e9-9101-7085c281e0ea||4. Подарочные сертификаты|
283b09b2-8c58-11ea-9107-7085c281e0ea||Услуги|
1f0e5825-d28c-11ea-9109-7085c281e0ea||1. Одежда|
e8defc14-d28c-11ea-9109-7085c281e0ea||5. Тест|
0b31004e-9ea2-11eb-9112-7085c281e0ea||Основные средства|
fc3789bf-a111-11eb-9112-7085c281e0ea||Инвентарь, оборудование и хоз принадлежности|
6c435a44-326d-11ec-9118-7085c281e0ea||6. Продукты|
2734589c-567f-11ec-911a-7085c281e0ea||7. Образцы|
0d01f919-443a-11ef-9164-7085c281e0ea||8. Домашняя коллекция|
1b4d8352-0b4a-11e9-9ff4-3150000bda54||3. Аксессуары|
fd1570c9-d307-11ea-9109-7085c281e0ea|f369c801-b67a-11e6-7a31-d0fd000025e0|1.4.1.1 Жакеты и пиджаки|
08a97032-d308-11ea-9109-7085c281e0ea|f369c801-b67a-11e6-7a31-d0fd000025e0|1.4.1.2 Жилеты|
aa93c54d-d307-11ea-9109-7085c281e0ea|d42a4b63-552d-11e7-7a31-d0fd0025c5e4|1.3.1.1 Костюмы брючные|
c12a07c4-d307-11ea-9109-7085c281e0ea|d42a4b63-552d-11e7-7a31-d0fd0025c5e4|1.3.1.2 Костюмы юбочные|
e0172dee-d307-11ea-9109-7085c281e0ea|d42a4b63-552d-11e7-7a31-d0fd0025c5e4|1.3.1.5 Комплекты и сеты|
e0ef8c8e-6a7f-11e9-9109-f8fc00256a56|d42a4b63-552d-11e7-7a31-d0fd0025c5e4|1.3.1.7 Теплые костюмы old|
e7deae25-6a7f-11e9-912f-f3d40025bcc2|d42a4b63-552d-11e7-7a31-d0fd0025c5e4|1.3.1.6 Классические костюмы old|
ef8bb0c8-6a7f-11e9-9ff4-315000258474|d42a4b63-552d-11e7-7a31-d0fd0025c5e4|1.3.1.3 Спортивные костюмы|
f6215428-6a7f-11e9-9ff4-315000258632|d42a4b63-552d-11e7-7a31-d0fd0025c5e4|1.3.1.4 Комбинезоны|
2b6c36fb-6a80-11e9-9ff4-34e80025dccb|860886cb-3f8e-11e7-7a34-5acf00048c05|1.5.2.1 Купальники|
2f3176d9-fbc0-11e9-9102-7085c281e0ea|fdcc7aa8-fb9c-11e7-7a34-5acf001fdc01|1.4.2.2 Джемпера|
481a4660-d315-11ea-9109-7085c281e0ea|fdcc7aa8-fb9c-11e7-7a34-5acf001fdc01|1.4.2.4 Водолазки|
58d81a47-d315-11ea-9109-7085c281e0ea|fdcc7aa8-fb9c-11e7-7a34-5acf001fdc01|1.4.2.5 Свитшоты и толстовки|
634351e1-d315-11ea-9109-7085c281e0ea|fdcc7aa8-fb9c-11e7-7a34-5acf001fdc01|1.4.2.6 Худи|
6a3178a6-d315-11ea-9109-7085c281e0ea|fdcc7aa8-fb9c-11e7-7a34-5acf001fdc01|1.4.2.7 Жилеты|
053fb1bc-6a80-11e9-912f-f3d400255e96|fdcc7aa8-fb9c-11e7-7a34-5acf001fdc01|1.4.2.9 Кофты old|
209dfa35-6a80-11e9-9ff4-315000258c5b|fdcc7aa8-fb9c-11e7-7a34-5acf001fdc01|1.4.2.1 Свитера|
11674c73-6a80-11e9-9ff4-34e80025e203|fdcc7aa8-fb9c-11e7-7a34-5acf001fdc01|1.4.2.3 Кардиганы|
bbccf84b-6a80-11e9-9109-f8fc002582af|1b0ba730-f7af-11e6-7a34-5acf0020281b|1.4.4.1 Блузки|
b64bdd47-6a80-11e9-912f-f3d40025ce02|1b0ba730-f7af-11e6-7a34-5acf0020281b|1.4.4.2 Рубашки|
8f96d1b8-6a7f-11e9-9107-504800257ef6|d149a48b-67e6-11e7-7a34-5acf0022ce22|1.2.1.6 Джинсовые куртки|
9793c098-6a7f-11e9-9107-504800257f73|d149a48b-67e6-11e7-7a34-5acf0022ce22|1.2.1.8 Шубы|
1f1b7871-d307-11ea-9109-7085c281e0ea|d149a48b-67e6-11e7-7a34-5acf0022ce22|1.2.1.2 Полупальто|
bcfbfb91-6a7f-11e9-9109-f8fc00256774|d149a48b-67e6-11e7-7a34-5acf0022ce22|1.2.1.7 Куртки кожаные|
4a0d4645-19eb-11eb-910f-7085c281e0ea|d149a48b-67e6-11e7-7a34-5acf0022ce22|1.2.1.9 Жилеты|
918957d6-6149-11ef-916b-7085c281e0ea|d149a48b-67e6-11e7-7a34-5acf0022ce22|1.2.1.10 Дубленки|
9f8a9fdb-6a7f-11e9-9ff4-34e80025cfc8|d149a48b-67e6-11e7-7a34-5acf0022ce22|1.2.1.4 Куртки, парки, пуховики|
a61da44a-6a7f-11e9-9ff4-34e80025d0f9|d149a48b-67e6-11e7-7a34-5acf0022ce22|1.2.1.1 Пальто|
8554c195-6a7f-11e9-9ff4-34e80025d548|d149a48b-67e6-11e7-7a34-5acf0022ce22|1.2.1.5 Ветровки, бомберы|
b10e23cc-6a7f-11e9-9ff4-34e80025d8db|d149a48b-67e6-11e7-7a34-5acf0022ce22|1.2.1.3 Плащи и тренчи|
77c3ec1d-d315-11ea-9109-7085c281e0ea|d8a16efc-75c6-11e7-7a69-8f550005f081|1.4.3.1 Лонгсливы|
8610db2d-d315-11ea-9109-7085c281e0ea|d8a16efc-75c6-11e7-7a69-8f550005f081|1.4.3.3 Поло|
ce648d06-6a80-11e9-9109-f8fc0025847e|d8a16efc-75c6-11e7-7a69-8f550005f081|1.4.3.5 Топы|
c79a60f6-6a80-11e9-912f-f3d40025cf61|d8a16efc-75c6-11e7-7a69-8f550005f081|1.4.3.2 Футболки|
faeb84a4-6a7f-11e9-9ff4-34e80025dfde|d8a16efc-75c6-11e7-7a69-8f550005f081|1.4.3.4 Боди|
b00d92da-6a80-11e9-9107-504800259c9b|e83142e7-b656-11e6-7a69-8f55003e9d02|1.3.2.5 Сарафаны old|
551f5f13-d310-11ea-9109-7085c281e0ea|e83142e7-b656-11e6-7a69-8f55003e9d02|1.3.2.1 Платья мини|
5b89afc3-d310-11ea-9109-7085c281e0ea|e83142e7-b656-11e6-7a69-8f55003e9d02|1.3.2.2 Платья миди|
6381b038-d310-11ea-9109-7085c281e0ea|e83142e7-b656-11e6-7a69-8f55003e9d02|1.3.2.3 Платья макси|
6bb0be4c-d310-11ea-9109-7085c281e0ea|e83142e7-b656-11e6-7a69-8f55003e9d02|1.3.2.4 Платья джинсовые|
a7fd8fed-6a80-11e9-912f-f3d40025cd06|e83142e7-b656-11e6-7a69-8f55003e9d02|1.3.2.9 Платья old|
41ea088d-d296-11ea-9109-7085c281e0ea|f29ea146-b649-11e6-7a69-9711003db8b7|2.1 Обувь|
11e4d7df-dd77-11e9-90fc-7085c281e0ea|e9f008e3-db24-11e9-90fc-7085c281e0ea|Новые 2!|
130c8b51-3617-11ea-9103-7085c281e0ea|0a3894e0-f0fb-11e9-9101-7085c281e0ea|Подарочные сертификаты|
4e51e30a-d4d2-11ea-9109-7085c281e0ea|130c8b51-3617-11ea-9103-7085c281e0ea|Подарочные сертификаты|
