uuid|id|name|category_uuid|
0bc0312e-a62c-11ee-8e4f-58404eefc607|Н2-00000001|1 8|2b8ee92c-cf9c-11e9-90fa-7085c281e0ea|
f8b05dcd-c278-11e9-90f6-7085c281e0ea|08719|Майка лапша трикотаж (фиолетовый)|ce648d06-6a80-11e9-9109-f8fc0025847e|
f8b05dce-c278-11e9-90f6-7085c281e0ea|08712|платье в мелкий горошек (голубой)|a7fd8fed-6a80-11e9-912f-f3d40025cd06|
f8b05dcf-c278-11e9-90f6-7085c281e0ea|08569|Майка лапша трикотаж (кофе)|ce648d06-6a80-11e9-9109-f8fc0025847e|
f8b05dd0-c278-11e9-90f6-7085c281e0ea|07352|Водолазка со стоячим воротом (кирпичный)|2f3176d9-fbc0-11e9-9102-7085c281e0ea|
f8b05dd1-c278-11e9-90f6-7085c281e0ea|08208|кофта классическая длинный рукав (розовый)|053fb1bc-6a80-11e9-912f-f3d400255e96|
f8b05dd2-c278-11e9-90f6-7085c281e0ea|08209|кофта классическая длинный рукав (рыжий)|053fb1bc-6a80-11e9-912f-f3d400255e96|
f8b05dd3-c278-11e9-90f6-7085c281e0ea|08675|платье воздушное с цветами (бежевый)|a7fd8fed-6a80-11e9-912f-f3d40025cd06|
f8b05dd4-c278-11e9-90f6-7085c281e0ea|07389|Водолазка с отворотом (коричневый)|481a4660-d315-11ea-9109-7085c281e0ea|
f8b05dd5-c278-11e9-90f6-7085c281e0ea|07661|набор лиф+трусы контрастная резинка (розовый, м)|30aec2ac-6a80-11e9-912f-f3d40025639c|
f8b05dd6-c278-11e9-90f6-7085c281e0ea|07956|Комбинезон с английским воротником (темно серый, 40-42)|f6215428-6a7f-11e9-9ff4-315000258632|
f8b05dd7-c278-11e9-90f6-7085c281e0ea|06288|джинсы черные 533 (48)|7f69b81c-d43c-11ea-9109-7085c281e0ea|
f8b05dd8-c278-11e9-90f6-7085c281e0ea|1152139|платье на запахе с цветочками мини|551f5f13-d310-11ea-9109-7085c281e0ea|
f8b05dd9-c278-11e9-90f6-7085c281e0ea|07773|набор для спорта топ+шорты черно серый (черно серый, оверсайз)|ef8bb0c8-6a7f-11e9-9ff4-315000258474|
f8b05dda-c278-11e9-90f6-7085c281e0ea|01331|безрукавка|08a97032-d308-11ea-9109-7085c281e0ea|
f8b05ddb-c278-11e9-90f6-7085c281e0ea|10047|ботинки с клепками и замком (36)|6879cc37-6a80-11e9-9ff4-3150002592b8|
f8b05ddc-c278-11e9-90f6-7085c281e0ea|1152131|брюки свободные черные 1|7480d4bf-d30f-11ea-9109-7085c281e0ea|
f8b05ddd-c278-11e9-90f6-7085c281e0ea|00575|костюм  двойка классика с карманами|e7deae25-6a7f-11e9-912f-f3d40025bcc2|
f8b05dde-c278-11e9-90f6-7085c281e0ea|1151472|пиджак двубортный с золотыми пуговицами|fd1570c9-d307-11ea-9109-7085c281e0ea|
