uuid|id|name|uuid_shop|
d14c8f7f-bd04-11e9-90f2-7085c281e0ea|ЦБ-000009|Ремонт (Казань, Проспект Победы, 33)|513386ae-b62c-11e6-7a31-d0fd004a3a26|
e59efeb1-bd04-11e9-90f2-7085c281e0ea|ЦБ-000010|Казань Брак (Новый)|052c460c-d55f-11e9-90fb-7085c281e0ea|
fbc11b6b-bd04-11e9-90f2-7085c281e0ea|ЦБ-000011|Казань Временный Интернет магазин (Новый)|052c460c-d55f-11e9-90fb-7085c281e0ea|
5bdeddc9-bd05-11e9-90f2-7085c281e0ea|ЦБ-000012|Зал продаж (Казань, Декабристов, 8)|96a1b993-c08a-11e7-7a69-971100038e88|
68696aba-bd05-11e9-90f2-7085c281e0ea|ЦБ-000013|Склад (Казань, Декабристов, 8)|96a1b993-c08a-11e7-7a69-971100038e88|
6f626f2f-bd06-11e9-90f2-7085c281e0ea|ЦБ-000019|Зал продаж (Казань, Проспект Победы, 33)|513386ae-b62c-11e6-7a31-d0fd004a3a26|
79fe36b3-bd06-11e9-90f2-7085c281e0ea|ЦБ-000020|Склад (Казань, Проспект Победы, 33)|513386ae-b62c-11e6-7a31-d0fd004a3a26|
94f64dfa-bd06-11e9-90f2-7085c281e0ea|ЦБ-000022|Сезонное хранение (Казань, Проспект Победы, 33)|513386ae-b62c-11e6-7a31-d0fd004a3a26|
a37c4104-bd06-11e9-90f2-7085c281e0ea|ЦБ-000023|Сезонное хранение (Казань, Декабристов, 8)|96a1b993-c08a-11e7-7a69-971100038e88|
be0f8f56-bd06-11e9-90f2-7085c281e0ea|ЦБ-000025|Киргизия (Новый)|052c460c-d55f-11e9-90fb-7085c281e0ea|
cf2a12ab-bd06-11e9-90f2-7085c281e0ea|ЦБ-000026|ЦС Китай|052c460c-d55f-11e9-90fb-7085c281e0ea|
efdfe9cb-bd06-11e9-90f2-7085c281e0ea|ЦБ-000028|Москва (Новый)|052c460c-d55f-11e9-90fb-7085c281e0ea|
843674d9-bd07-11e9-90f2-7085c281e0ea|ЦБ-000031|ЦС Брак|052c460c-d55f-11e9-90fb-7085c281e0ea|
